,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 8. U.S. Imports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
"Farming materials, livestock",164,181,-16,345,339,7,,,,,,,,,,,,,,,,,,,
Copper,649,670,-20,"1,319",886,433,,,,,,,,,,,,,,,,,,,
"Tobacco, waxes, etc.",761,812,-51,"1,573","1,385",188,,,,,,,,,,,,,,,,,,,
Electric energy,119,171,-52,290,283,7,,,,,,,,,,,,,,,,,,,
Steelmaking materials,742,799,-57,"1,540","1,210",331,,,,,,,,,,,,,,,,,,,
Bauxite and aluminum,"1,375","1,456",-81,"2,831","2,481",349,,,,,,,,,,,,,,,,,,,
Nuclear fuel materials,162,246,-84,409,441,-32,,,,,,,,,,,,,,,,,,,
Plastic materials,"1,542","1,656",-114,"3,198","2,779",419,,,,,,,,,,,,,,,,,,,
Gas-natural,419,871,-452,"1,290","1,161",129,,,,,,,,,,,,,,,,,,,
Fuel oil,"2,055","2,671",-617,"4,726","3,421","1,305",,,,,,,,,,,,,,,,,,,
"Capital goods, except automotive","57,782","55,960","1,823","113,742","101,963","11,779",,,,,,,,,,,,,,,,,,,
Civilian aircraft,912,462,450,"1,373","2,344",-970,,,,,,,,,,,,,,,,,,,
Materials handling equipment,"1,717","1,435",282,"3,152","2,635",518,,,,,,,,,,,,,,,,,,,
Computers,"6,301","6,049",252,"12,349","10,159","2,191",,,,,,,,,,,,,,,,,,,
Telecommunications equipment,"6,555","6,314",240,"12,869","12,828",41,,,,,,,,,,,,,,,,,,,
"Industrial machines, other","5,066","4,836",230,"9,903","8,897","1,006",,,,,,,,,,,,,,,,,,,
Semiconductors,"4,830","4,668",162,"9,498","8,718",780,,,,,,,,,,,,,,,,,,,
Computer accessories,"5,605","5,452",153,"11,057","9,335","1,722",,,,,,,,,,,,,,,,,,,
"Generators, accessories","2,133","2,017",116,"4,150","3,922",228,,,,,,,,,,,,,,,,,,,
"Photo, service industry machinery","1,937","1,864",74,"3,801","3,560",241,,,,,,,,,,,,,,,,,,,
"Commercial vessels, other",78,8,70,86,18,68,,,,,,,,,,,,,,,,,,,
Electric apparatus,"4,797","4,728",69,"9,525","8,389","1,136",,,,,,,,,,,,,,,,,,,
Metalworking machine tools,"1,188","1,124",64,"2,312","1,880",431,,,,,,,,,,,,,,,,,,,
"Measuring, testing, control instruments","1,975","1,925",51,"3,900","3,432",468,,,,,,,,,,,,,,,,,,,
"Textile, sewing machines",201,167,34,367,330,37,,,,,,,,,,,,,,,,,,,
Business machines and equipment,451,423,28,874,863,11,,,,,,,,,,,,,,,,,,,
Medicinal equipment,"3,484","3,474",9,"6,958","6,315",643,,,,,,,,,,,,,,,,,,,
Railway transportation equipment,141,131,9,272,196,76,,,,,,,,,,,,,,,,,,,
Specialized mining,65,61,4,126,126,-1,,,,,,,,,,,,,,,,,,,
Parts-civilian aircraft,"1,521","1,520",(-),"3,041","2,811",231,,,,,,,,,,,,,,,,,,,
"Spacecraft, excluding military",2,6,-4,8,9,-1,,,,,,,,,,,,,,,,,,,
"Vessels, except scrap",1,6,-5,7,(-),6,,,,,,,,,,,,,,,,,,,
Nonfarm tractors and parts,99,105,-6,204,125,79,,,,,,,,,,,,,,,,,,,
"Marine engines, parts",110,118,-9,228,137,91,,,,,,,,,,,,,,,,,,,
Pulp and paper machinery,518,534,-16,"1,052",835,217,,,,,,,,,,,,,,,,,,,
Industrial engines,"2,192","2,208",-17,"4,400","4,130",270,,,,,,,,,,,,,,,,,,,
Laboratory testing instruments,688,715,-27,"1,403","1,150",253,,,,,,,,,,,,,,,,,,,
"Agricultural machinery, equipment",822,850,-28,"1,672","1,319",354,,,,,,,,,,,,,,,,,,,
"Wood, glass, plastic",810,840,-30,"1,649","1,381",269,,,,,,,,,,,,,,,,,,,
"Food, tobacco machinery",344,375,-31,718,676,42,,,,,,,,,,,,,,,,,,,
Engines-civilian aircraft,"1,721","1,757",-36,"3,478","3,161",318,,,,,,,,,,,,,,,,,,,
Excavating machinery,"1,059","1,142",-83,"2,201","1,662",539,,,,,,,,,,,,,,,,,,,
Drilling & oilfield equipment,463,645,-183,"1,108",623,485,,,,,,,,,,,,,,,,,,,
"Automotive vehicles, parts, and engines","31,088","30,942",146,"62,030","60,279","1,751",,,,,,,,,,,,,,,,,,,
Engines and engine parts,"2,587","2,513",75,"5,100","4,698",402,,,,,,,,,,,,,,,,,,,
Other parts and accessories of vehicles,"9,447","9,376",70,"18,823","17,762","1,061",,,,,,,,,,,,,,,,,,,
Automotive tires and tubes,"1,105","1,044",61,"2,148","1,977",172,,,,,,,,,,,,,,,,,,,
"Trucks, buses, and special purpose vehicles","2,732","2,722",10,"5,454","5,900",-446,,,,,,,,,,,,,,,,,,,
Bodies and chassis for passenger cars,2,3,-1,5,2,3,,,,,,,,,,,,,,,,,,,
Bodies and chassis for trucks and buses,64,71,-7,135,110,25,,,,,,,,,,,,,,,,,,,
"Passenger cars, new and used","15,151","15,214",-62,"30,365","29,831",534,,,,,,,,,,,,,,,,,,,
